ISIN,stale_zero_return_share,is_stale,monthly_obs_count,enough_monthly_obs
AT000000STR1,0.0,False,219,True
AT00000VIE62,0.0,False,313,True
AT0000606306,0.0,False,249,True
AT0000652011,0.003194888178913738,False,313,True
AT0000720008,0.0,False,302,True
AT0000730007,0.0,False,295,True
AT0000743059,0.0,False,313,True
AT0000746409,0.0,False,313,True
AT0000831706,0.0,False,313,True
AT0000908504,0.0,False,313,True
AT0000937503,0.0,False,313,True
AT0000938204,0.0,False,313,True
AT0000A21KS2,0.0,False,313,True
AU000000JHX1,0.0,False,313,True
BE0003470755,0.0,False,313,True
BE0003565737,0.0,False,313,True
BE0003593044,0.0,False,313,True
BE0003717312,0.0,False,313,True
BE0003735496,0.0,False,313,True
BE0003739530,0.0,False,313,True
BE0003755692,0.0,False,313,True
BE0003797140,0.0,False,313,True
BE0003810273,0.0,False,262,True
BE0003822393,0.0,False,247,True
BE0974256852,0.0,False,313,True
BE0974258874,0.0,False,313,True
BE0974264930,0.0,False,313,True
BE0974271034,0.0,False,146,True
BE0974293251,0.0,False,302,True
BE0974320526,0.0,False,313,True
BE0974338700,0.0,False,78,True
BMG850801025,0.0,False,313,True
CH0000816824,0.003194888178913738,False,313,True
CH0008038389,0.0,False,309,True
CH0008742519,0.0,False,313,True
CH0010570759,0.0,False,313,True
CH0010645932,0.0,False,307,True
CH0011075394,0.0,False,313,True
CH0011432447,0.0,False,262,True
CH0012005267,0.0,False,313,True
CH0012032048,0.0,False,313,True
CH0012138530,0.0,False,281,True
CH0012138605,0.0,False,313,True
CH0012142631,0.003194888178913738,False,313,True
CH0012214059,0.0,False,313,True
CH0012221716,0.0,False,313,True
CH0012255151,0.0,False,313,True
CH0012268360,0.0,False,313,True
CH0012410517,0.0,False,311,True
CH0012549785,0.0,False,313,True
CH0013841017,0.003194888178913738,False,313,True
CH0014786500,0.0,False,313,True
CH0014852781,0.0,False,313,True
CH0018294154,0.0032258064516129032,False,310,True
CH0022268228,0.0,False,243,True
CH0024608827,0.0,False,238,True
CH0024638212,0.0,False,313,True
CH0025238863,0.0,False,313,True
CH0025751329,0.0,False,313,True
CH0030170408,0.0,False,313,True
CH0038388911,0.0,False,313,True
CH0038863350,0.0,False,313,True
CH0044328745,0.003194888178913738,False,313,True
CH0048265513,0.0,False,313,True
CH0102484968,0.0,False,195,True
CH0114405324,0.0,False,301,True
CH0126881561,0.0,False,313,True
CH0198251305,0.006535947712418301,False,153,True
CH0210483332,0.0,False,313,True
CH0244767585,0.0,False,313,True
CH0319416936,0.0,False,313,True
CH0418792922,0.0,False,313,True
CH1169151003,0.0,False,313,True
CH1175448666,0.0,False,313,True
CH1216478797,0.0,False,33,False
CH1256740924,0.0,False,313,True
DE0005089031,0.0,False,313,True
DE0005140008,0.0,False,313,True
DE0005190003,0.0,False,313,True
DE0005200000,0.0,False,313,True
DE0005408884,0.0,False,283,True
DE0005439004,0.0,False,313,True
DE0005470405,0.0,False,252,True
DE0005552004,0.0,False,302,True
DE0005557508,0.0,False,313,True
DE0005773303,0.0,False,295,True
DE0005785604,0.0,False,313,True
DE0005785802,0.0,False,313,True
DE0005810055,0.0,False,299,True
DE0005909006,0.0,False,313,True
DE0006047004,0.0,False,313,True
DE0006048432,0.0,False,313,True
DE0006070006,0.0,False,313,True
DE0006202005,0.0,False,313,True
DE0006231004,0.0,False,310,True
DE0006569908,0.0,False,313,True
DE0006599905,0.0,False,313,True
DE0006602006,0.0,False,313,True
DE0006969603,0.0,False,313,True
DE0007030009,0.0,False,313,True
DE0007037129,0.0,False,313,True
DE0007042301,0.0,False,313,True
DE0007100000,0.0,False,313,True
DE0007164600,0.0,False,313,True
DE0007236101,0.0,False,313,True
DE0007257503,0.003194888178913738,False,313,True
DE0007297004,0.0,False,313,True
DE0007314007,0.0,False,313,True
DE0007500001,0.0,False,313,True
DE0007507501,0.0,False,313,True
DE0007664039,0.0,False,313,True
DE0008232125,0.0,False,313,True
DE0008402215,0.0,False,313,True
DE0008404005,0.0,False,313,True
DE0008430026,0.0,False,313,True
DE000A0D6554,0.0,False,298,True
DE000A0D9PT0,0.0,False,247,True
DE000A0S8488,0.0,False,218,True
DE000A0WMPJ6,0.0,False,313,True
DE000A1EWWW0,0.0,False,313,True
DE000A2GS401,0.0,False,295,True
DE000BASF111,0.0,False,313,True
DE000BAY0017,0.0,False,313,True
DE000CBK1001,0.0,False,313,True
DE000CLS1001,0.0,False,281,True
DE000ENAG999,0.0,False,313,True
DE000KSAG888,0.0,False,313,True
DE000PSM7770,0.0,False,313,True
DE000TUAG505,0.0,False,313,True
DK0010181759,0.0,False,313,True
DK0010234467,0.0,False,313,True
DK0010244508,0.0,False,313,True
DK0010272632,0.0,False,313,True
DK0010274414,0.0,False,313,True
DK0010287663,0.0,False,313,True
DK0010307958,0.0,False,313,True
DK0010311471,0.0,False,313,True
DK0060079531,0.0,False,313,True
DK0060336014,0.0033112582781456954,False,302,True
DK0060448595,0.0,False,313,True
DK0060477503,0.0,False,297,True
DK0060636678,0.0,False,243,True
DK0060738599,0.0,False,313,True
DK0061539921,0.0,False,313,True
DK0061804697,0.0,False,43,True
ES0109427734,0.0,False,267,True
ES0112501012,0.0,False,313,True
ES0113211835,0.0,False,313,True
ES0113679I37,0.003194888178913738,False,313,True
ES0113860A34,0.0,False,297,True
ES0113900J37,0.0,False,313,True
ES0116870314,0.0,False,313,True
ES0117160111,0.0,False,304,True
ES0118594417,0.0,False,313,True
ES0122060314,0.0,False,313,True
ES0124244E34,0.0,False,313,True
ES0125220311,0.0,False,313,True
ES0130670112,0.0,False,313,True
ES0130960018,0.0,False,283,True
ES0132105018,0.0,False,313,True
ES0134950F36,0.0,False,313,True
ES0142090317,0.0,False,313,True
ES0144580Y14,0.0,False,313,True
ES0148396007,0.0,False,296,True
ES0152503035,0.0,False,226,True
ES0161560018,0.0,False,308,True
ES0167050915,0.0,False,313,True
ES0171743901,0.017699115044247787,False,226,True
ES0171996087,0.0,False,236,True
ES0173093024,0.0,False,313,True
ES0173516115,0.0,False,313,True
ES0178430E18,0.0,False,313,True
ES0182870214,0.0,False,313,True
ES0184933812,0.0,False,267,True
FI0009000202,0.0,False,313,True
FI0009000277,0.0,False,313,True
FI0009000459,0.0,False,313,True
FI0009000681,0.0,False,313,True
FI0009002158,0.0,False,291,True
FI0009002422,0.0,False,313,True
FI0009003727,0.0,False,313,True
FI0009005318,0.0,False,313,True
FI0009005870,0.0,False,313,True
FI0009005961,0.0,False,313,True
FI0009005987,0.0,False,313,True
FI0009007132,0.0,False,313,True
FI0009007694,0.0,False,313,True
FI0009007884,0.0,False,313,True
FI0009013296,0.004016064257028112,False,249,True
FI0009013403,0.0,False,313,True
FI0009800643,0.0,False,313,True
FI4000297767,0.0,False,312,True
FI4000440664,0.0,False,266,True
FR0000035081,0.0,False,313,True
FR0000039109,0.0,False,313,True
FR0000044448,0.0,False,295,True
FR0000045072,0.0,False,289,True
FR0000051070,0.0,False,313,True
FR0000052292,0.0,False,313,True
FR0000053225,0.0,False,313,True
FR0000054470,0.0,False,313,True
FR0000054900,0.0,False,313,True
FR0000064578,0.0,False,313,True
FR0000073272,0.0,False,313,True
FR0000077919,0.0,False,295,True
FR0000120073,0.0,False,313,True
FR0000120172,0.0,False,313,True
FR0000120222,0.0,False,269,True
FR0000120271,0.0,False,313,True
FR0000120321,0.0,False,313,True
FR0000120404,0.0,False,313,True
FR0000120503,0.0,False,313,True
FR0000120560,0.0,False,313,True
FR0000120578,0.0,False,313,True
FR0000120628,0.0,False,313,True
FR0000120644,0.0,False,313,True
FR0000120693,0.0,False,313,True
FR0000120859,0.0,False,313,True
FR0000120966,0.0,False,313,True
FR0000121014,0.0,False,313,True
FR0000121121,0.0,False,313,True
FR0000121204,0.0,False,313,True
FR0000121220,0.0,False,313,True
FR0000121329,0.0,False,313,True
FR0000121485,0.0,False,313,True
FR0000121667,0.0,False,313,True
FR0000121964,0.0,False,313,True
FR0000121972,0.0,False,313,True
FR0000124141,0.0,False,306,True
FR0000125007,0.0,False,313,True
FR0000125338,0.0,False,313,True
FR0000125486,0.0,False,313,True
FR0000127771,0.0,False,313,True
FR0000130213,0.0,False,313,True
FR0000130395,0.0,False,313,True
FR0000130403,0.0,False,313,True
FR0000130452,0.0,False,313,True
FR0000130577,0.0,False,313,True
FR0000130809,0.0,False,313,True
FR0000131104,0.0,False,313,True
FR0000131757,0.0,False,313,True
FR0000131906,0.0,False,313,True
FR0000133308,0.0,False,313,True
FR0010040865,0.0,False,313,True
FR0010220475,0.0,False,313,True
FR0010221234,0.0,False,241,True
FR0010242511,0.0,False,209,True
FR0010307819,0.0,False,237,True
FR0010313833,0.0,False,236,True
FR0010340141,0.0,False,235,True
FR0010411983,0.0,False,313,True
FR0010533075,0.0,False,223,True
FR0013176526,0.0,False,313,True
FR0013280286,0.0,False,258,True
FR0013326246,0.0,False,313,True
FR0013505062,0.0,False,241,True
FR0013506730,0.0,False,313,True
FR0014003TT8,0.0,False,313,True
FR001400AJ45,0.0,False,313,True
GB0000163088,0.0,False,313,True
GB0000365774,0.0,False,313,True
GB0000456144,0.0,False,313,True
GB0000536739,0.0,False,313,True
GB0000600931,0.0,False,313,True
GB0000811801,0.0,False,313,True
GB0000904986,0.0,False,313,True
GB0000961622,0.0,False,313,True
GB0001048619,0.0,False,273,True
GB0001110096,0.0,False,313,True
GB0001367019,0.0,False,313,True
GB0001500809,0.0,False,313,True
GB0001570810,0.0,False,313,True
GB0001638955,0.0,False,313,True
GB0001667087,0.0,False,313,True
GB0001765816,0.0,False,272,True
GB0001795680,0.0,False,313,True
GB0001826634,0.0,False,313,True
GB0001859296,0.0,False,313,True
GB0002015021,0.0,False,293,True
GB0002018363,0.0,False,313,True
GB0002074580,0.0,False,306,True
GB0002148343,0.0,False,313,True
GB0002318888,0.0,False,313,True
GB0002349065,0.0,False,313,True
GB0002374006,0.0,False,313,True
GB0002418548,0.0,False,313,True
GB0002634946,0.0,False,313,True
GB0002652740,0.0,False,313,True
GB0002670437,0.0,False,279,True
GB0002869419,0.0,False,308,True
GB0002875804,0.0,False,313,True
GB0003062816,0.0,False,313,True
GB0003096442,0.0,False,313,True
GB0003308607,0.0,False,311,True
GB0003395000,0.0,False,313,True
GB0003452173,0.003194888178913738,False,313,True
GB0003718474,0.0,False,313,True
GB0003753778,0.0,False,273,True
GB0004052071,0.0,False,313,True
GB0004082847,0.0,False,313,True
GB0004161021,0.0,False,313,True
GB0004170089,0.0,False,313,True
GB0004270301,0.0,False,313,True
GB0004478896,0.0,False,313,True
GB0004544929,0.0,False,313,True
GB0004657408,0.0,False,313,True
GB0004726096,0.0,False,309,True
GB0004866223,0.0,False,313,True
GB0004915632,0.0,False,313,True
GB0005405286,0.0,False,313,True
GB0005522007,0.0,False,268,True
GB0005576813,0.0,False,313,True
GB0005603997,0.0,False,313,True
GB0005630420,0.0,False,313,True
GB0005746358,0.0,False,313,True
GB0005758098,0.0,False,272,True
GB0005790059,0.0,False,271,True
GB0006027295,0.0,False,313,True
GB0006215205,0.0,False,313,True
GB0006449366,0.0,False,313,True
GB0006640972,0.0,False,313,True
GB0006650450,0.0,False,313,True
GB0006731235,0.0,False,313,True
GB0006776081,0.0,False,313,True
GB0006825383,0.0,False,313,True
GB0006886666,0.0,False,274,True
GB0006928617,0.0,False,313,True
GB0006963689,0.0,False,313,True
GB0007099541,0.0,False,313,True
GB0007188757,0.0,False,313,True
GB0007323586,0.0,False,313,True
GB0007370074,0.0,False,313,True
GB0007388407,0.0,False,313,True
GB0007594764,0.0,False,276,True
GB0007668071,0.0,False,313,True
GB0007669376,0.003194888178913738,False,313,True
GB0007689002,0.0,False,291,True
GB0007908733,0.0,False,313,True
GB0007958233,0.0,False,313,True
GB0007973794,0.0,False,313,True
GB0007980591,0.0,False,313,True
GB0008025412,0.0,False,313,True
GB0008085614,0.0,False,313,True
GB0008220112,0.0,False,301,True
GB0008475088,0.0,False,306,True
GB0008481250,0.0,False,313,True
GB0008706128,0.0,False,313,True
GB0008711763,0.0,False,313,True
GB0008782301,0.0,False,313,True
GB0008794710,0.0,False,313,True
GB0009067447,0.003194888178913738,False,313,True
GB0009123323,0.0,False,271,True
GB0009223206,0.0,False,313,True
GB0009286963,0.0,False,313,True
GB0009292243,0.0,False,313,True
GB0009296665,0.0,False,313,True
GB0009465807,0.0,False,313,True
GB0009633180,0.0,False,279,True
GB0009692319,0.0,False,313,True
GB0009697037,0.0,False,313,True
GB0009895292,0.0,False,313,True
GB0030181522,0.0,False,299,True
GB0030232317,0.0,False,298,True
GB0030329360,0.0,False,274,True
GB0030913577,0.0,False,313,True
GB0031274896,0.0,False,313,True
GB0031348658,0.0,False,313,True
GB0031638363,0.0,False,284,True
GB0031743007,0.0,False,282,True
GB0032089863,0.0,False,313,True
GB0033147751,0.0,False,313,True
GB0033195214,0.0,False,313,True
GB0033986497,0.0,False,313,True
GB0034291418,0.0,False,262,True
GB00B00FPT80,0.0,False,260,True
GB00B012BV22,0.0,False,313,True
GB00B012TP20,0.0,False,259,True
GB00B019KW72,0.0,False,313,True
GB00B01CZ652,0.0,False,303,True
GB00B01QGK86,0.0,False,258,True
GB00B02J6398,0.0,False,256,True
GB00B033F229,0.0,False,313,True
GB00B03HDJ73,0.0,False,232,True
GB00B04V1276,0.0,False,313,True
GB00B06QFB75,0.0,False,249,True
GB00B0744359,0.004048582995951417,False,247,True
GB00B0744B38,0.0,False,313,True
GB00B082RF11,0.0,False,313,True
GB00B0FYMT95,0.0,False,313,True
GB00B0KM9T71,0.0,False,242,True
GB00B0LCW083,0.0,False,243,True
GB00B0N8QD54,0.0,False,228,True
GB00B0SWJX34,0.0,False,306,True
GB00B0WMWD03,0.0,False,239,True
GB00B0YG1K06,0.0,False,287,True
GB00B128J450,0.0,False,267,True
