ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AT000000STR1,,,,,,,,,,,,1098000.0,1312861.0,1293353.0,1263900.0,1139826.0,1097981.0,1056598.0,1111616.0,1084918.0,1011203.0,913416.0,937510.0,988433.0,1003842.0,946642.0,946642.0
AT00000VIE62,,,,,,,,,,,,,,,,,58175.0,58506.0,54187.0,51545.0,30864.0,22503.0,23716.0,7567.0,26731.0,9847.0,9847.0
AT0000606306,,,,,,,,,,,,3944.0,2964.0,47941.0,48221.0,31456.0,33979.0,31828.0,32712.0,61521.0,57163.0,53586.0,45891.0,43040.0,45929.0,31179.0,31179.0
AT0000652011,,,,,,,,,,,7641.0,6665.0,185177.0,125743.0,117034.0,98169.0,77668.0,77007.0,76936.0,62411.0,64834.0,57491.0,44414.0,39449.0,62061.0,59422.0,59422.0
AT0000720008,,,,,,,,,110307.85,120099.95,85672.0,62890.62,84572.0,218296.0,222722.0,170842.0,203770.0,302747.0,314824.0,258791.0,274792.0,310768.0,296363.0,291156.0,255593.0,283924.0,283924.0
AT0000730007,,,,,,,,,,,,,,,,,,,,93350.0,98958.0,123608.0,132718.0,134645.0,172266.0,161927.0,161927.0
AT0000743059,,,,,,,,,,,12547300.0,12948700.0,12244000.0,11574000.0,13600000.0,13400000.0,12600000.0,11400000.0,11400000.0,11500000.0,13554223.0,11200000.0,14500000.0,12600000.0,10085840.0,10814546.0,10814546.0
AT0000746409,,,,,,,,,,,2688664.0,3687587.0,4503481.0,4140000.0,3767000.0,2256000.0,2147000.0,1349000.0,1810000.0,1481000.0,1248000.0,830000.0,600000.0,813000.0,531533.0,616520.0,616520.0
AT0000831706,,,,,,,,,,,,,,,,,,,,,,2649500.0,2659100.0,2922900.0,1988000.0,1995594.0,1995594.0
AT0000908504,,,,,,,,,,,,,,,,,,,,,34927.0,28534.0,28346.0,33385.0,38791.0,31424.0,31424.0
AT0000937503,,,,,,,,,,,,,,,,,,,,15200000.0,13500000.0,14550000.0,13080000.0,15180000.0,13360000.0,13170000.0,13170000.0
AT0000938204,,,,,,,,,,,,,,,,,,,,,630000.0,650000.0,1850000.0,1710000.0,1450000.0,1440271.0,1440271.0
AT0000A21KS2,,,,,,,,,,,,,,,,,,,,679.0,678.0,678.0,678.0,44541.0,34281.0,38597.0,38597.0
AU000000JHX1,,,,,,,,,,,,,,,,,,,,,,603840.0,558975.0,662727.0,646409.0,596700.0,573039.0
BE0003470755,,,,,,,14996000.0,14682000.0,15351823.0,14539785.0,13177418.0,13177418.0,13177418.0,14906654.0,14906654.0,14400000.0,14200000.0,13380000.0,12300000.0,12400000.0,12090000.0,10290000.0,11190000.0,10770000.0,7403000.0,7554000.0,7554000.0
BE0003565737,,,,,,,77687.0,48952.0,58978.0,35311.0,65610.0,13905.0,19896.0,11557.0,11557.0,11557.0,98155.36,84421.29000000001,69280.95999999999,60584.11,85296.0,68045.0,59956.0,68099.0,64199.0,76078.0,76078.0
BE0003593044,,,,,,,,,,,,,73511.0,84547.0,85170.0,78673.0,99597.0,55174.0,56638.0,36060.0,14240.0,11668.0,10276.0,9140.0,6841.0,6001.0,6001.0
BE0003717312,,,,,,,,,,,,,,,,,,,,,,,200.89999999999998,258.0,271.0,223.0,223.0
BE0003735496,,,,,,,,,,,,8105.0,8240.0,7766.0,7317.0,5590.0,5590.0,5590.0,5590.0,5590.0,13060.0,13060.0,13060.0,1535.0,28526.0,35528.0,35528.0
BE0003739530,,,,,,,,,113700.0,117090.0,94565.0,96939.0,83146.0,85958.0,79770.0,66100.0,65681.0,39351.0,31978.0,62274.0,58726.0,49489.0,46672.0,44682.0,38414.0,38009.0,38009.0
BE0003755692,,,,,,,,,,,,245600.0,233100.0,230000.0,218500.0,203100.0,203000.0,183300.0,182200.0,184700.0,162800.0,144600.0,137700.0,128900.0,119200.0,119200.0,119200.0
BE0003797140,,,,,,,,,,,,,,,,,,,,,300.0,140.0,160.0,192.0,196.0,145.0,145.0
BE0003810273,,,,,,,,,180000.0,108000.0,150112.0,155885.0,136544.0,150000.0,133000.0,136000.0,141000.0,114700.0,112300.0,103000.0,98500.0,81401.0,78800.0,85400.0,67765.0,60227.0,60227.0
BE0003822393,,,,,,,,,,,,,,,,,,,,,1053787.92,962399.4800000001,1109675.58,1143361.34,916353.6,793912.8999999999,793912.8999999999
BE0974256852,,,,,,,,,,,,,,,,,,,,,,,,122523.0,119129.0,110266.0,110266.0
BE0974258874,,,,,,,,,,,,,,,,,,1517140.0,2030968.0,2058926.0,1657859.0,1508077.0,1647255.0,1510987.0,1407395.0,1376552.0,1376552.0
BE0974264930,,,,,,,,220000.0,135500.0,89746.0,89746.0,89746.0,89746.0,89746.0,89746.0,89746.0,89746.0,89746.0,89746.0,89746.0,15350.0,10730.0,10218.0,11069.0,16008.0,51391.0,51391.0
BE0974271034,,,,,,,,,,,,,,,,,,,,,,1128000.0,1209000.0,1262000.0,1004000.0,1064000.0,1064000.0
BE0974293251,,,,,,,,,3380000.0,3380000.0,4550000.0,4250000.0,4367743.0,4040000.0,5280000.0,6070000.0,5180000.0,4680000.0,6180000.0,5670000.0,5120000.0,3685200.0,4410000.0,3680736.0,4740000.0,4470000.0,4470000.0
BE0974320526,,,,,,,,,,,,,,,,,,,663307.0,785789.0,815175.0,751540.0,794689.0,719259.0,695427.0,618455.0,618455.0
BE0974338700,,,,,,,,,,,,,,,,,,,,12200000.0,11300000.0,10700000.0,11300000.0,10700000.0,11239803.0,11287945.0,11287945.0
BMG850801025,,,,,,,,,,,,,,,,,,,,,,,1857372.0,1827857.0,1899605.0,1906888.0,1906888.0
CH0000816824,,,,,,,,,,,,,,,,,,,,,157900.0,146300.0,161000.0,147100.0,145000.0,144100.0,144100.0
CH0008038389,,,,,,,,,,,,,,,,38500.0,35000.0,34900.0,47215.0,45962.0,12465.0,17571.0,14686.0,13283.0,15176.0,15253.0,15253.0
CH0008742519,,,,,,,,,,,26300.0,31077.0,56919.0,72225.0,25260.0,21380.0,30151.0,74663.0,75473.0,75509.0,65098.0,63010.0,62198.0,60850.0,60809.0,53925.0,53925.0
CH0010570759,,,,,,,,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,57036.0,174235.0,162510.0,164276.0,156398.0,168445.0,168445.0
CH0010645932,,,,,,,,,,,216152.0,231474.0,217411.0,213008.0,216950.0,202456.5,246253.0,187879.0,175473.0,163849.0,154576.0,193040.0,190043.0,191457.0,152864.0,140407.0,140407.0
CH0011075394,,,,,,,,,,59943.0,59943.0,59943.0,59943.0,59943.0,59943.0,59943.0,63917.0,58495.0,60415.0,50856.0,49042.0,27715.0,21424.0,21227.0,36284.0,33519.0,33519.0
CH0011432447,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0012005267,,,,,361640.0,372260.0,1323170.0,1453440.0,1440350.0,1523100.0,1509000.0,1504000.0,1502500.0,1435000.0,1323000.0,1304200.0,1362000.0,1074400.0,1003900.0,1010800.0,1049989.0,865500.0,579900.0,522900.0,446000.0,407400.0,407400.0
CH0012032048,,,,,,,975674.0,864384.0,934984.0,917159.0,889412.0,899533.0,862889.0,820164.0,814802.0,732507.0,787535.0,723462.0,565442.0,553609.0,483923.0,445818.0,422795.0,363802.0,338746.0,315030.0,315030.0
CH0012138530,,,,277518.0,234675.0,177390.0,177446.0,275400.0,185400.0,190600.0,202010.0,227130.0,245900.0,214180.0,176880.0,133410.0,126950.0,128460.0,179340.0,134900.0,103320.0,88856.0,87643.0,83097.0,83097.0,83097.0,83097.0
CH0012138605,,,,,,,,,,,,156346.0,144032.0,103934.0,94836.0,87801.0,83027.0,81327.0,92860.0,93862.64,89113.88,55087.7,43916.149999999994,56270.35,65300.0,69336.0,69336.0
CH0012142631,,,,,,,,,1355534.0,1235814.0,1144330.0,1167677.0,1126941.0,1033740.0,1310000.0,960000.0,850000.0,890000.0,970000.0,940000.0,690000.0,690000.0,710000.0,690000.0,650000.0,610000.0,610000.0
CH0012214059,,,,,68300000.0,68300000.0,68300000.0,70000000.0,100400000.0,99000000.0,96600000.0,101500000.0,113055295.0,108702810.0,102100000.0,110100000.0,161000000.0,135000000.0,139000000.0,129000000.0,129000000.0,117000000.0,126000000.0,81000000.0,78000000.0,75000000.0,75000000.0
CH0012221716,,,,,,,,,,1615000.0,1476000.0,1056000.0,1074000.0,1075000.0,1550000.0,1631000.0,1481000.0,1378000.0,1026000.0,1002000.0,998000.0,562000.0,404000.0,221000.0,423000.0,405000.0,405000.0
CH0012255151,,,,,,,,,,,,,,,,,,,,,,,55385.0,49357.0,49212.0,61489.0,61489.0
CH0012268360,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0012410517,,,,,,,,,,,,,,,,,,,,,,,,5742.0,4710.0,7504.0,7504.0
CH0012549785,,,,,,,,,1197.0,1197.0,8922.0,10929.0,13696.0,20196.0,20415.0,20802.0,21853.0,22425.0,24799.0,38701.0,35500.0,31052.0,24906.0,28003.0,30702.0,30171.0,28751.0
CH0013841017,,,,,,,,,,,,,606551.37,725511.0,672000.0,694000.0,704000.0,755000.0,677000.0,922000.0,837000.0,798000.0,540000.0,545000.0,547000.0,537000.0,537000.0
CH0014786500,,,,,,,,,,,,,408.98,428.0,590.9,1936.0,1729.0,1909.0,2108.0,1752.0,1988.0,1775.0,1423.0,1354.0,1226.0,1307.0,1307.0
CH0014852781,,,,,,,,,,,5049.0,16074.0,15970.0,18790.0,15470.0,16010.0,14880.0,15238.0,11602.0,12780.0,13336.0,10095.0,9101.0,7820.0,7483.0,6727.0,6727.0
CH0018294154,,,,,,,,,,,,15851.0,18212.0,18212.0,18212.0,18212.0,15159.0,12124.0,12157.0,11160.0,10460.0,9323.0,10092.0,9429.0,8568.0,8248.0,8248.0
CH0022268228,,,,,,,,,,,,,,,,,,,,,,,,2805.0,3173.0,3004.0,3004.0
CH0024608827,,,,,,,,,,,155.0,215.0,139.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,2195.0,1877.0,2502.0,2558.0,2425.0,2211.0,2211.0
CH0024638212,,,,,,,,,,141700.0,147000.0,144000.0,148000.0,181000.0,173000.0,185000.0,179000.0,190000.0,199200.0,187180.0,196218.0,172474.0,187063.0,196872.0,196308.0,186126.0,186126.0
CH0025238863,,,,,,,,,,,276599.0,265720.0,258594.0,247025.0,247025.0,247025.0,247025.0,247025.0,247025.0,247025.0,310000.0,310000.0,240000.0,221000.0,302000.0,302000.0,302000.0
CH0025751329,,,,,,,,,,,,,16211.0,16128.0,15789.76,14290.0,13191.0,14885.0,17315.0,17671.0,5356.0,2850.0,1890.0,1461.0,15699.8,13382.0,13382.0
CH0030170408,,,,,,75720.0,74190.0,85322.0,82611.0,77445.0,74196.0,77486.0,76903.0,71853.0,69909.0,63525.0,257909.0,250108.0,242796.0,231484.0,222639.0,206553.0,183886.0,150591.0,121014.0,123975.0,123975.0
CH0038388911,,,,,,,93100.0,92850.0,98290.0,107410.0,99100.0,108930.0,116460.0,127310.0,148530.0,92850.0,86850.0,74660.0,78300.0,74977.0,77459.0,81339.0,63087.0,58492.0,55914.899999999994,43000.0,43000.0
CH0038863350,,,,,,,,,7230000.0,7100000.0,7000000.0,6800000.0,7040000.0,7100000.0,7870000.0,7710000.0,7400000.0,6800000.0,6200000.0,6599611.0,6497798.0,5200000.0,5972000.0,5851710.0,5738939.0,5670000.0,5670000.0
CH0044328745,,,,,,,,,,,56406.0,59631.0,52475.0,52703.0,54449.0,58218.0,55948.0,97024.0,83272.0,73238.0,70625.0,55140.0,51273.0,60103.0,59133.0,87336.0,87336.0
CH0048265513,,,,,,,,,,2152970.0,2202922.0,1768402.0,1768402.0,1768402.0,1768402.0,1768402.0,1768402.0,931000.0,966000.0,1419000.0,1146337.0,1079691.0,891951.0,891735.0,126428.0,126428.0,126428.0
CH0102484968,,,,,,,,,5947.65,453.0,606.72,725.97,1174.76,1176.0,1176.0,5537.0,5845.0,6209.0,5298.0,7136.0,7493.0,6879.0,8087.0,8012.0,6887.0,6124.0,6124.0
CH0114405324,,,,,,,,,,,,,,,,,,,,,,,,,,,
