ISIN,NAME,Country,Region
AT000000STR1,STRABAG SE,AT,EUR
AT00000VIE62,FLUGHAFEN WIEN,AT,EUR
AT0000606306,RAIFFEISEN BANK INTL.,AT,EUR
AT0000652011,ERSTE GROUP BANK,AT,EUR
AT0000720008,TELEKOM AUSTRIA,AT,EUR
AT0000730007,ANDRITZ,AT,EUR
AT0000743059,OMV,AT,EUR
AT0000746409,VERBUND,AT,EUR
AT0000831706,WIENERBERGER,AT,EUR
AT0000908504,VIENNA INSURANCE GROUP A,AT,EUR
AT0000937503,VOESTALPINE,AT,EUR
AT0000938204,MAYR-MELNHOF KARTON,AT,EUR
AT0000A21KS2,CPI EUROPE AGE,AT,EUR
AU000000JHX1,JAMES HARDIE INDUSTRIES CDI,IE,EUR
BE0003470755,SOLVAY,BE,EUR
BE0003565737,KBC GROUP,BE,EUR
BE0003593044,COFINIMMO,BE,EUR
BE0003717312,SOFINA,BE,EUR
BE0003735496,ORANGE BELGIUM,BE,EUR
BE0003739530,UCB,BE,EUR
BE0003755692,AGFA-GEVAERT,BE,EUR
BE0003797140,GBL NEW,BE,EUR
BE0003810273,PROXIMUS,BE,EUR
BE0003822393,ELIA GROUP,BE,EUR
BE0974256852,COLRUYT GROUP,BE,EUR
BE0974258874,BEKAERT (D),BE,EUR
BE0974264930,AGEAS (EX-FORTIS),BE,EUR
BE0974271034,VIOHALCO,BE,EUR
BE0974293251,ANHEUSER-BUSCH INBEV,BE,EUR
BE0974320526,UMICORE,BE,EUR
BE0974338700,TITAN,BE,EUR
BMG850801025,STOLT-NIELSEN,GB,EUR
CH0000816824,OC OERLIKON CORPORATION,CH,EUR
CH0008038389,SWISS PRIME SITE,CH,EUR
CH0008742519,SWISSCOM 'R',CH,EUR
CH0010570759,CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH,EUR
CH0010645932,GIVAUDAN 'N',CH,EUR
CH0011075394,ZURICH INSURANCE GROUP,CH,EUR
CH0011432447,BASILEA PHARMACEUTICA 'R',CH,EUR
CH0012005267,NOVARTIS 'R',CH,EUR
CH0012032048,ROCHE HOLDING,CH,EUR
CH0012138530,CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,CH,EUR
CH0012138605,ADECCO GROUP,CH,EUR
CH0012142631,CLARIANT,CH,EUR
CH0012214059,HOLCIM,CH,EUR
CH0012221716,ABB LTD N,CH,EUR
CH0012255151,THE SWATCH GROUP,CH,EUR
CH0012268360,KUDELSKI 'B',CH,EUR
CH0012410517,BALOISE HOLDING DEAD - DELIST.08/12/25,CH,EUR
CH0012549785,SONOVA N,CH,EUR
CH0013841017,LONZA GROUP,CH,EUR
CH0014786500,VALIANT 'R',CH,EUR
CH0014852781,SWISS LIFE HOLDING,CH,EUR
CH0018294154,PSP SWISS PROPERTY AG,CH,EUR
CH0022268228,EFG INTERNATIONAL N,CH,EUR
CH0024608827,PARTNERS GROUP HOLDING,CH,EUR
CH0024638212,SCHINDLER 'R',CH,EUR
CH0025238863,KUEHNE UND NAGEL INTERNATIONAL,CH,EUR
CH0025751329,LOGITECH 'R',CH,EUR
CH0030170408,GEBERIT 'R',CH,EUR
CH0038388911,SULZER 'R',CH,EUR
CH0038863350,NESTLE 'N',CH,EUR
CH0044328745,CHUBB,CH,EUR
CH0048265513,TRANSOCEAN,CH,EUR
CH0102484968,JULIUS BAER GRUPPE,CH,EUR
CH0114405324,GARMIN,CH,EUR
CH0126881561,SWISS RE,CH,EUR
CH0198251305,COCA-COLA HBC,CH,EUR
CH0210483332,RICHEMONT N,CH,EUR
CH0244767585,UBS GROUP,CH,EUR
CH0319416936,FLUGHAFEN ZURICH,CH,EUR
CH0418792922,SIKA,CH,EUR
CH1169151003,GEORG FISCHER,CH,EUR
CH1175448666,STRAUMANN HLDG.,CH,EUR
CH1216478797,DSM FIRMENICH,CH,EUR
CH1256740924,SGS 'N',CH,EUR
DE0005089031,UNITED INTERNET,DE,EUR
DE0005140008,DEUTSCHE BANK,DE,EUR
DE0005190003,BMW,DE,EUR
DE0005200000,BEIERSDORF,DE,EUR
DE0005408884,LEONI DEAD - DELIST.21/08/23,DE,EUR
DE0005439004,CONTINENTAL,DE,EUR
DE0005470405,LANXESS,DE,EUR
DE0005552004,DEUTSCHE POST,DE,EUR
DE0005557508,DEUTSCHE TELEKOM,DE,EUR
DE0005773303,FRAPORT,DE,EUR
DE0005785604,FRESENIUS,DE,EUR
DE0005785802,FRESENIUS MED.CARE,DE,EUR
DE0005810055,DEUTSCHE BOERSE,DE,EUR
DE0005909006,BILFINGER BERGER,DE,EUR
DE0006047004,HEIDELBERG MATERIALS,DE,EUR
DE0006048432,HENKEL PREFERENCE,DE,EUR
DE0006070006,HOCHTIEF,DE,EUR
DE0006202005,SALZGITTER,DE,EUR
DE0006231004,INFINEON TECHNOLOGIES,DE,EUR
DE0006569908,MLP,DE,EUR
DE0006599905,MERCK KGAA,DE,EUR
DE0006602006,GEA GROUP,DE,EUR
