year,rank,ISIN,NAME,contribution_waci_mv
2013,1,GB00BHJYC057,ICTL.HTLS.GP.,18.35934963149007
2013,2,US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,11.265099982215968
2013,3,GB00B39J2M42,UNITED UTILITIES GROUP,9.136376326249442
2013,4,GB0002670437,DEVRO DEAD - DELIST.14/04/23,4.205770233332473
2013,5,GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,3.5441113458906104
2013,6,NO0003054108,MOWI,3.148424819402951
2013,7,GB00B3DGH821,DE LA RUE ORD DEAD - DELIST.03/07/25,3.030112806965378
2013,8,GB0002074580,GENUS,2.7307492289607875
2013,9,GB0009895292,ASTRAZENECA,1.9759694903790563
2013,10,DK0060448595,COLOPLAST B,1.906398489913231
2014,1,GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,92.30975449448101
2014,2,US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,10.887534613777596
2014,3,GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,4.464969342609607
2014,4,IE00BGH1M568,PERRIGO,3.6678610702645646
2014,5,NO0003054108,MOWI,3.2200254965330712
2014,6,GB00B3DGH821,DE LA RUE ORD DEAD - DELIST.03/07/25,3.0573131907524913
2014,7,DK0060448595,COLOPLAST B,1.6539145213651154
2014,8,GB0002318888,CRANSWICK,1.6410309436216404
2014,9,GB0032089863,NEXT,1.137979237166692
2014,10,GB0009067447,MOTHERCARE,1.1066039510497254
2015,1,GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,343.71442525734386
2015,2,NO0003054108,MOWI,9.309647416085763
2015,3,GB00B39J2M42,UNITED UTILITIES GROUP,5.678181137782148
2015,4,GB00BDR05C01,NATIONAL GRID,5.443328476615919
2015,5,US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,5.053878111901322
2015,6,GB00B3DGH821,DE LA RUE ORD DEAD - DELIST.03/07/25,2.55635834396641
2015,7,GB00B7KR2P84,EASYJET,1.9648129533422198
2015,8,IE00BGH1M568,PERRIGO,1.8841046730152142
2015,9,IE00BLP1HW54,AON CLASS A,1.230821486377123
2015,10,GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,1.2212683224543301
2016,1,GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,256.60429496678427
2016,2,GB00BDR05C01,NATIONAL GRID,9.866393206251995
2016,3,GB00B39J2M42,UNITED UTILITIES GROUP,8.469524619837987
2016,4,NO0003054108,MOWI,6.8879421129505864
2016,5,US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,4.558582952229456
2016,6,CH0198251305,COCA-COLA HBC,3.104088891766553
2016,7,IE00BGH1M568,PERRIGO,2.104108406078897
2016,8,GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,1.3032201466098576
2016,9,GB0006776081,PEARSON,1.174305624978123
2016,10,IE00BLP1HW54,AON CLASS A,1.135746049843857
2017,1,GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,319.88204232785847
2017,2,GB00BDR05C01,NATIONAL GRID,20.743599204274986
2017,3,NO0003054108,MOWI,6.027557258120033
2017,4,CH0198251305,COCA-COLA HBC,5.074287659046715
2017,5,US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,3.908992235299123
2017,6,GB00B39J2M42,UNITED UTILITIES GROUP,3.2504228139344407
2017,7,IE00BLP1HW54,AON CLASS A,1.6209085109657795
2017,8,DK0060448595,COLOPLAST B,1.037775265699212
2017,9,GB0006776081,PEARSON,0.9459405471877909
2017,10,DE0005785802,FRESENIUS MED.CARE,0.7980188761927977
2018,1,GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,83.04569854550274
2018,2,GB00BDR05C01,NATIONAL GRID,11.017983523555213
2018,3,GB00B39J2M42,UNITED UTILITIES GROUP,8.323322323274656
2018,4,NO0003054108,MOWI,6.8055760856146925
2018,5,CH0198251305,COCA-COLA HBC,5.03751748586396
2018,6,IE00BLP1HW54,AON CLASS A,1.919766105433092
2018,7,US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,1.5172136958986435
2018,8,GB0009067447,MOTHERCARE,0.9175017975033134
2018,9,GB0009633180,DECHRA PHARMACEUTICALS DEAD - DELIST.17/01/24,0.6947014675042551
2018,10,GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,0.66243985708671
